code, adultprice, date, signdate
2928SFOAPTHTL,$16.99,29 Apr 2015,2015-04-29 00:56:41
2928SFOAPTHTL,$16.99,1 May 2015,2015-04-29 00:56:41
2928SFOAPTHTL,$16.99,11 May 2015,2015-04-29 00:56:41
2928SFOHTLAPT,$16.99,29 Apr 2015,2015-04-29 00:56:52
2928SFOAPTHTL,$16.99,2 May 2015,2015-04-29 00:56:41
2928SFOAPTHTL,$16.99,12 May 2015,2015-04-29 00:56:41
5059TRANSIT,$19.25,28 Apr 2015,2015-04-29 00:57:04
2928SFOAPTHTL,$16.99,3 May 2015,2015-04-29 00:56:41
2928SFOAPTHTL,$16.99,13 May 2015,2015-04-29 00:56:41
2928LAXAPTHTL,$16.99,29 Apr 2015,2015-04-29 00:57:15
2928SFOAPTHTL,$16.99,4 May 2015,2015-04-29 00:56:41
2928SFOAPTHTL,$16.99,14 May 2015,2015-04-29 00:56:41
5859LVMON,$10.79,29 Apr 2015,2015-04-29 00:57:27
2928SFOAPTHTL,$16.99,5 May 2015,2015-04-29 00:56:41
2928SFOAPTHTL,$16.99,15 May 2015,2015-04-29 00:56:41
5378LASAPTRND,$14.49,29 Apr 2015,2015-04-29 00:57:37
2928SFOAPTHTL,$16.99,6 May 2015,2015-04-29 00:56:41
2928SFOAPTHTL,$16.99,16 May 2015,2015-04-29 00:56:41
5548NYCAPTHTL,$19.99,29 Apr 2015,2015-04-29 00:57:48
2928SFOAPTHTL,$16.99,7 May 2015,2015-04-29 00:56:41
2928SFOAPTHTL,$16.99,17 May 2015,2015-04-29 00:56:41
5548NYCHTLAPT,$19.99,29 Apr 2015,2015-04-29 00:58:05
2928SFOAPTHTL,$16.99,8 May 2015,2015-04-29 00:56:41
2928LAXHTLAPT,$16.99,29 Apr 2015,2015-04-29 00:58:17
2928SFOAPTHTL,$16.99,18 May 2015,2015-04-29 00:56:41
2928SFOAPTHTL,$16.99,9 May 2015,2015-04-29 00:56:41
2928SFOAPTHTL,$16.99,30 Apr 2015,2015-04-29 00:56:41
2928SFOAPTHTL,$16.99,19 May 2015,2015-04-29 00:56:41
2928SFOAPTHTL,$16.99,10 May 2015,2015-04-29 00:56:41
2928SFOAPTHTL,$16.99,20 May 2015,2015-04-29 00:56:41
2928SFOAPTHTL,$16.99,21 May 2015,2015-04-29 00:56:41
2928SFOAPTHTL,$16.99,31 May 2015,2015-04-29 00:56:41
2928SFOAPTHTL,$16.99,22 May 2015,2015-04-29 00:56:41
2928SFOHTLAPT,$16.99,30 Apr 2015,2015-04-29 00:56:52
2928SFOAPTHTL,$16.99,23 May 2015,2015-04-29 00:56:41
2928SFOHTLAPT,$16.99,1 May 2015,2015-04-29 00:56:52
2928SFOAPTHTL,$16.99,24 May 2015,2015-04-29 00:56:41
2928SFOAPTHTL,$16.99,25 May 2015,2015-04-29 00:56:41
2928SFOHTLAPT,$16.99,2 May 2015,2015-04-29 00:56:52
2928SFOAPTHTL,$16.99,26 May 2015,2015-04-29 00:56:41
2928SFOHTLAPT,$16.99,3 May 2015,2015-04-29 00:56:52
2928SFOAPTHTL,$16.99,27 May 2015,2015-04-29 00:56:41
2928SFOHTLAPT,$16.99,4 May 2015,2015-04-29 00:56:52
2928SFOAPTHTL,$16.99,28 May 2015,2015-04-29 00:56:41
2928SFOHTLAPT,$16.99,5 May 2015,2015-04-29 00:56:52
2928SFOAPTHTL,$16.99,29 May 2015,2015-04-29 00:56:41
2928SFOHTLAPT,$16.99,6 May 2015,2015-04-29 00:56:52
2928SFOAPTHTL,$16.99,30 May 2015,2015-04-29 00:56:41
2928SFOHTLAPT,$16.99,7 May 2015,2015-04-29 00:56:52
2928SFOHTLAPT,$16.99,8 May 2015,2015-04-29 00:56:52
2928SFOHTLAPT,$16.99,9 May 2015,2015-04-29 00:56:52
2928SFOHTLAPT,$16.99,19 May 2015,2015-04-29 00:56:52
2928SFOHTLAPT,$16.99,29 May 2015,2015-04-29 00:56:52
2928SFOHTLAPT,$16.99,10 May 2015,2015-04-29 00:56:52
2928SFOHTLAPT,$16.99,20 May 2015,2015-04-29 00:56:52
2928SFOHTLAPT,$16.99,30 May 2015,2015-04-29 00:56:52
2928SFOHTLAPT,$16.99,11 May 2015,2015-04-29 00:56:52
2928SFOHTLAPT,$16.99,21 May 2015,2015-04-29 00:56:52
2928SFOHTLAPT,$16.99,31 May 2015,2015-04-29 00:56:52
2928SFOHTLAPT,$16.99,12 May 2015,2015-04-29 00:56:52
2928SFOHTLAPT,$16.99,22 May 2015,2015-04-29 00:56:52
5059TRANSIT,$19.25,29 Apr 2015,2015-04-29 00:57:04
2928SFOHTLAPT,$16.99,13 May 2015,2015-04-29 00:56:52
2928SFOHTLAPT,$16.99,23 May 2015,2015-04-29 00:56:52
5059TRANSIT,$19.25,30 Apr 2015,2015-04-29 00:57:04
2928SFOHTLAPT,$16.99,14 May 2015,2015-04-29 00:56:52
2928SFOHTLAPT,$16.99,24 May 2015,2015-04-29 00:56:52
5059TRANSIT,$19.25,1 May 2015,2015-04-29 00:57:04
2928SFOHTLAPT,$16.99,15 May 2015,2015-04-29 00:56:52
2928SFOHTLAPT,$16.99,25 May 2015,2015-04-29 00:56:52
5059TRANSIT,$19.25,2 May 2015,2015-04-29 00:57:04
2928SFOHTLAPT,$16.99,16 May 2015,2015-04-29 00:56:52
2928SFOHTLAPT,$16.99,26 May 2015,2015-04-29 00:56:52
5059TRANSIT,$19.25,3 May 2015,2015-04-29 00:57:04
2928SFOHTLAPT,$16.99,17 May 2015,2015-04-29 00:56:52
2928SFOHTLAPT,$16.99,27 May 2015,2015-04-29 00:56:52
5059TRANSIT,$19.25,4 May 2015,2015-04-29 00:57:04
2928SFOHTLAPT,$16.99,18 May 2015,2015-04-29 00:56:52
2928SFOHTLAPT,$16.99,28 May 2015,2015-04-29 00:56:52
5059TRANSIT,$19.25,5 May 2015,2015-04-29 00:57:04
5059TRANSIT,$19.25,6 May 2015,2015-04-29 00:57:04
5059TRANSIT,$19.25,7 May 2015,2015-04-29 00:57:04
5059TRANSIT,$19.25,16 May 2015,2015-04-29 00:57:04
5059TRANSIT,$19.25,8 May 2015,2015-04-29 00:57:04
5059TRANSIT,$19.25,17 May 2015,2015-04-29 00:57:04
5059TRANSIT,$19.25,9 May 2015,2015-04-29 00:57:04
5059TRANSIT,$19.25,18 May 2015,2015-04-29 00:57:04
5059TRANSIT,$19.25,10 May 2015,2015-04-29 00:57:04
5059TRANSIT,$19.25,19 May 2015,2015-04-29 00:57:04
5059TRANSIT,$19.25,11 May 2015,2015-04-29 00:57:04
5059TRANSIT,$19.25,20 May 2015,2015-04-29 00:57:04
5059TRANSIT,$19.25,12 May 2015,2015-04-29 00:57:04
5059TRANSIT,$19.25,21 May 2015,2015-04-29 00:57:04
5059TRANSIT,$19.25,13 May 2015,2015-04-29 00:57:04
5059TRANSIT,$19.25,22 May 2015,2015-04-29 00:57:04
5059TRANSIT,$19.25,14 May 2015,2015-04-29 00:57:04
5059TRANSIT,$19.25,23 May 2015,2015-04-29 00:57:04
5059TRANSIT,$19.25,15 May 2015,2015-04-29 00:57:04
5059TRANSIT,$19.25,24 May 2015,2015-04-29 00:57:04
5059TRANSIT,$19.25,25 May 2015,2015-04-29 00:57:04
5059TRANSIT,$19.25,26 May 2015,2015-04-29 00:57:04
2928LAXAPTHTL,$16.99,4 May 2015,2015-04-29 00:57:15
2928LAXAPTHTL,$16.99,14 May 2015,2015-04-29 00:57:15
5059TRANSIT,$19.25,27 May 2015,2015-04-29 00:57:04
2928LAXAPTHTL,$16.99,15 May 2015,2015-04-29 00:57:15
2928LAXAPTHTL,$16.99,5 May 2015,2015-04-29 00:57:15
2928LAXAPTHTL,$16.99,16 May 2015,2015-04-29 00:57:15
2928LAXAPTHTL,$16.99,6 May 2015,2015-04-29 00:57:15
5059TRANSIT,$19.25,28 May 2015,2015-04-29 00:57:04
2928LAXAPTHTL,$16.99,17 May 2015,2015-04-29 00:57:15
2928LAXAPTHTL,$16.99,7 May 2015,2015-04-29 00:57:15
5059TRANSIT,$19.25,29 May 2015,2015-04-29 00:57:04
2928LAXAPTHTL,$16.99,18 May 2015,2015-04-29 00:57:15
2928LAXAPTHTL,$16.99,8 May 2015,2015-04-29 00:57:15
5059TRANSIT,$19.25,30 May 2015,2015-04-29 00:57:04
2928LAXAPTHTL,$16.99,19 May 2015,2015-04-29 00:57:15
2928LAXAPTHTL,$16.99,9 May 2015,2015-04-29 00:57:15
5059TRANSIT,$19.25,31 May 2015,2015-04-29 00:57:04
2928LAXAPTHTL,$16.99,20 May 2015,2015-04-29 00:57:15
2928LAXAPTHTL,$16.99,10 May 2015,2015-04-29 00:57:15
2928LAXAPTHTL,$16.99,30 Apr 2015,2015-04-29 00:57:15
2928LAXAPTHTL,$16.99,21 May 2015,2015-04-29 00:57:15
2928LAXAPTHTL,$16.99,11 May 2015,2015-04-29 00:57:15
2928LAXAPTHTL,$16.99,1 May 2015,2015-04-29 00:57:15
2928LAXAPTHTL,$16.99,22 May 2015,2015-04-29 00:57:15
2928LAXAPTHTL,$16.99,12 May 2015,2015-04-29 00:57:15
2928LAXAPTHTL,$16.99,2 May 2015,2015-04-29 00:57:15
2928LAXAPTHTL,$16.99,23 May 2015,2015-04-29 00:57:15
2928LAXAPTHTL,$16.99,13 May 2015,2015-04-29 00:57:15
2928LAXAPTHTL,$16.99,3 May 2015,2015-04-29 00:57:15
2928LAXAPTHTL,$16.99,24 May 2015,2015-04-29 00:57:15
2928LAXAPTHTL,$16.99,25 May 2015,2015-04-29 00:57:15
5859LVMON,$10.79,2 May 2015,2015-04-29 00:57:27
2928LAXAPTHTL,$16.99,26 May 2015,2015-04-29 00:57:15
5859LVMON,$10.79,3 May 2015,2015-04-29 00:57:27
2928LAXAPTHTL,$16.99,27 May 2015,2015-04-29 00:57:15
5859LVMON,$10.79,4 May 2015,2015-04-29 00:57:27
2928LAXAPTHTL,$16.99,28 May 2015,2015-04-29 00:57:15
5859LVMON,$10.79,5 May 2015,2015-04-29 00:57:27
2928LAXAPTHTL,$16.99,29 May 2015,2015-04-29 00:57:15
5859LVMON,$10.79,6 May 2015,2015-04-29 00:57:27
2928LAXAPTHTL,$16.99,30 May 2015,2015-04-29 00:57:15
5859LVMON,$10.79,7 May 2015,2015-04-29 00:57:27
2928LAXAPTHTL,$16.99,31 May 2015,2015-04-29 00:57:15
5859LVMON,$10.79,8 May 2015,2015-04-29 00:57:27
5859LVMON,$10.79,30 Apr 2015,2015-04-29 00:57:27
5859LVMON,$10.79,9 May 2015,2015-04-29 00:57:27
5859LVMON,$10.79,1 May 2015,2015-04-29 00:57:27
5859LVMON,$10.79,10 May 2015,2015-04-29 00:57:27
5859LVMON,$10.79,11 May 2015,2015-04-29 00:57:27
5859LVMON,$10.79,12 May 2015,2015-04-29 00:57:27
5859LVMON,$10.79,22 May 2015,2015-04-29 00:57:27
5378LASAPTRND,$14.49,30 Apr 2015,2015-04-29 00:57:37
5859LVMON,$10.79,13 May 2015,2015-04-29 00:57:27
5859LVMON,$10.79,23 May 2015,2015-04-29 00:57:27
5378LASAPTRND,$14.49,1 May 2015,2015-04-29 00:57:37
5859LVMON,$10.79,14 May 2015,2015-04-29 00:57:27
5859LVMON,$10.79,24 May 2015,2015-04-29 00:57:27
5378LASAPTRND,$14.49,2 May 2015,2015-04-29 00:57:37
5859LVMON,$10.79,15 May 2015,2015-04-29 00:57:27
5859LVMON,$10.79,25 May 2015,2015-04-29 00:57:27
5378LASAPTRND,$14.49,3 May 2015,2015-04-29 00:57:37
5859LVMON,$10.79,16 May 2015,2015-04-29 00:57:27
5859LVMON,$10.79,26 May 2015,2015-04-29 00:57:27
5378LASAPTRND,$14.49,4 May 2015,2015-04-29 00:57:37
5859LVMON,$10.79,17 May 2015,2015-04-29 00:57:27
5859LVMON,$10.79,27 May 2015,2015-04-29 00:57:27
5378LASAPTRND,$14.49,5 May 2015,2015-04-29 00:57:37
5859LVMON,$10.79,18 May 2015,2015-04-29 00:57:27
5859LVMON,$10.79,28 May 2015,2015-04-29 00:57:27
5378LASAPTRND,$14.49,6 May 2015,2015-04-29 00:57:37
5859LVMON,$10.79,19 May 2015,2015-04-29 00:57:27
5859LVMON,$10.79,29 May 2015,2015-04-29 00:57:27
5378LASAPTRND,$14.49,7 May 2015,2015-04-29 00:57:37
5859LVMON,$10.79,20 May 2015,2015-04-29 00:57:27
5859LVMON,$10.79,30 May 2015,2015-04-29 00:57:27
5378LASAPTRND,$14.49,8 May 2015,2015-04-29 00:57:37
5859LVMON,$10.79,21 May 2015,2015-04-29 00:57:27
5859LVMON,$10.79,31 May 2015,2015-04-29 00:57:27
5378LASAPTRND,$14.49,9 May 2015,2015-04-29 00:57:37
5378LASAPTRND,$14.49,10 May 2015,2015-04-29 00:57:37
5378LASAPTRND,$14.49,20 May 2015,2015-04-29 00:57:37
5378LASAPTRND,$14.49,11 May 2015,2015-04-29 00:57:37
5378LASAPTRND,$14.49,21 May 2015,2015-04-29 00:57:37
5378LASAPTRND,$14.49,12 May 2015,2015-04-29 00:57:37
5378LASAPTRND,$14.49,22 May 2015,2015-04-29 00:57:37
5378LASAPTRND,$14.49,13 May 2015,2015-04-29 00:57:37
5378LASAPTRND,$14.49,23 May 2015,2015-04-29 00:57:37
5378LASAPTRND,$14.49,14 May 2015,2015-04-29 00:57:37
5378LASAPTRND,$14.49,24 May 2015,2015-04-29 00:57:37
5378LASAPTRND,$14.49,15 May 2015,2015-04-29 00:57:37
5378LASAPTRND,$14.49,25 May 2015,2015-04-29 00:57:37
5378LASAPTRND,$14.49,16 May 2015,2015-04-29 00:57:37
5378LASAPTRND,$14.49,26 May 2015,2015-04-29 00:57:37
5378LASAPTRND,$14.49,17 May 2015,2015-04-29 00:57:37
5378LASAPTRND,$14.49,27 May 2015,2015-04-29 00:57:37
5378LASAPTRND,$14.49,18 May 2015,2015-04-29 00:57:37
5378LASAPTRND,$14.49,28 May 2015,2015-04-29 00:57:37
5378LASAPTRND,$14.49,19 May 2015,2015-04-29 00:57:37
5378LASAPTRND,$14.49,29 May 2015,2015-04-29 00:57:37
5378LASAPTRND,$14.49,30 May 2015,2015-04-29 00:57:37
5548NYCAPTHTL,$19.99,8 May 2015,2015-04-29 00:57:48
5548NYCAPTHTL,$19.99,18 May 2015,2015-04-29 00:57:48
5378LASAPTRND,$14.49,31 May 2015,2015-04-29 00:57:37
5548NYCAPTHTL,$19.99,19 May 2015,2015-04-29 00:57:48
5548NYCAPTHTL,$19.99,9 May 2015,2015-04-29 00:57:48
5548NYCAPTHTL,$19.99,30 Apr 2015,2015-04-29 00:57:48
5548NYCAPTHTL,$19.99,20 May 2015,2015-04-29 00:57:48
5548NYCAPTHTL,$19.99,10 May 2015,2015-04-29 00:57:48
5548NYCAPTHTL,$19.99,1 May 2015,2015-04-29 00:57:48
5548NYCAPTHTL,$19.99,21 May 2015,2015-04-29 00:57:48
5548NYCAPTHTL,$19.99,11 May 2015,2015-04-29 00:57:48
5548NYCAPTHTL,$19.99,2 May 2015,2015-04-29 00:57:48
5548NYCAPTHTL,$19.99,22 May 2015,2015-04-29 00:57:48
5548NYCAPTHTL,$19.99,12 May 2015,2015-04-29 00:57:48
5548NYCAPTHTL,$19.99,3 May 2015,2015-04-29 00:57:48
5548NYCAPTHTL,$19.99,23 May 2015,2015-04-29 00:57:48
5548NYCAPTHTL,$19.99,13 May 2015,2015-04-29 00:57:48
5548NYCAPTHTL,$19.99,4 May 2015,2015-04-29 00:57:48
5548NYCAPTHTL,$19.99,24 May 2015,2015-04-29 00:57:48
5548NYCAPTHTL,$19.99,14 May 2015,2015-04-29 00:57:48
5548NYCAPTHTL,$19.99,5 May 2015,2015-04-29 00:57:48
5548NYCAPTHTL,$19.99,25 May 2015,2015-04-29 00:57:48
5548NYCAPTHTL,$19.99,15 May 2015,2015-04-29 00:57:48
5548NYCAPTHTL,$19.99,6 May 2015,2015-04-29 00:57:48
5548NYCAPTHTL,$19.99,26 May 2015,2015-04-29 00:57:48
5548NYCAPTHTL,$19.99,16 May 2015,2015-04-29 00:57:48
5548NYCAPTHTL,$19.99,7 May 2015,2015-04-29 00:57:48
5548NYCAPTHTL,$19.99,27 May 2015,2015-04-29 00:57:48
5548NYCAPTHTL,$19.99,17 May 2015,2015-04-29 00:57:48
5548NYCAPTHTL,$19.99,28 May 2015,2015-04-29 00:57:48
5548NYCHTLAPT,$19.99,6 May 2015,2015-04-29 00:58:05
5548NYCAPTHTL,$19.99,29 May 2015,2015-04-29 00:57:48
5548NYCHTLAPT,$19.99,7 May 2015,2015-04-29 00:58:05
5548NYCAPTHTL,$19.99,30 May 2015,2015-04-29 00:57:48
5548NYCHTLAPT,$19.99,8 May 2015,2015-04-29 00:58:05
5548NYCAPTHTL,$19.99,31 May 2015,2015-04-29 00:57:48
5548NYCHTLAPT,$19.99,9 May 2015,2015-04-29 00:58:05
5548NYCHTLAPT,$19.99,30 Apr 2015,2015-04-29 00:58:05
5548NYCHTLAPT,$19.99,10 May 2015,2015-04-29 00:58:05
5548NYCHTLAPT,$19.99,1 May 2015,2015-04-29 00:58:05
5548NYCHTLAPT,$19.99,11 May 2015,2015-04-29 00:58:05
5548NYCHTLAPT,$19.99,2 May 2015,2015-04-29 00:58:05
5548NYCHTLAPT,$19.99,12 May 2015,2015-04-29 00:58:05
5548NYCHTLAPT,$19.99,3 May 2015,2015-04-29 00:58:05
5548NYCHTLAPT,$19.99,13 May 2015,2015-04-29 00:58:05
5548NYCHTLAPT,$19.99,4 May 2015,2015-04-29 00:58:05
5548NYCHTLAPT,$19.99,14 May 2015,2015-04-29 00:58:05
5548NYCHTLAPT,$19.99,5 May 2015,2015-04-29 00:58:05
5548NYCHTLAPT,$19.99,15 May 2015,2015-04-29 00:58:05
5548NYCHTLAPT,$19.99,16 May 2015,2015-04-29 00:58:05
5548NYCHTLAPT,$19.99,26 May 2015,2015-04-29 00:58:05
2928LAXHTLAPT,$16.99,4 May 2015,2015-04-29 00:58:17
5548NYCHTLAPT,$19.99,17 May 2015,2015-04-29 00:58:05
2928LAXHTLAPT,$16.99,5 May 2015,2015-04-29 00:58:17
5548NYCHTLAPT,$19.99,27 May 2015,2015-04-29 00:58:05
5548NYCHTLAPT,$19.99,18 May 2015,2015-04-29 00:58:05
2928LAXHTLAPT,$16.99,6 May 2015,2015-04-29 00:58:17
5548NYCHTLAPT,$19.99,28 May 2015,2015-04-29 00:58:05
5548NYCHTLAPT,$19.99,19 May 2015,2015-04-29 00:58:05
5548NYCHTLAPT,$19.99,29 May 2015,2015-04-29 00:58:05
2928LAXHTLAPT,$16.99,7 May 2015,2015-04-29 00:58:17
5548NYCHTLAPT,$19.99,20 May 2015,2015-04-29 00:58:05
5548NYCHTLAPT,$19.99,30 May 2015,2015-04-29 00:58:05
5548NYCHTLAPT,$19.99,21 May 2015,2015-04-29 00:58:05
2928LAXHTLAPT,$16.99,8 May 2015,2015-04-29 00:58:17
5548NYCHTLAPT,$19.99,31 May 2015,2015-04-29 00:58:05
5548NYCHTLAPT,$19.99,22 May 2015,2015-04-29 00:58:05
2928LAXHTLAPT,$16.99,9 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,30 Apr 2015,2015-04-29 00:58:17
5548NYCHTLAPT,$19.99,23 May 2015,2015-04-29 00:58:05
2928LAXHTLAPT,$16.99,10 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,1 May 2015,2015-04-29 00:58:17
5548NYCHTLAPT,$19.99,24 May 2015,2015-04-29 00:58:05
2928LAXHTLAPT,$16.99,11 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,2 May 2015,2015-04-29 00:58:17
5548NYCHTLAPT,$19.99,25 May 2015,2015-04-29 00:58:05
2928LAXHTLAPT,$16.99,12 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,3 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,13 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,14 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,24 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,15 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,25 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,16 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,26 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,17 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,27 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,18 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,28 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,19 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,29 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,20 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,30 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,21 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,31 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,22 May 2015,2015-04-29 00:58:17
2928LAXHTLAPT,$16.99,23 May 2015,2015-04-29 00:58:17
